name,type,group
Lydia Davis,member,poet
Ronda Davis,member,poet
Olena Kalytiak Davis,member,poet
Ossie Davis,member,poet
Thulani Davis,member,poet
Peter Davison,member,poet
Jean Day,member,poet
Connie Deanovich,member,poet
Julia de Burgos,member,poet
Mark DeCarteret,member,poet
Angela de Hoyos,member,poet
Madeline DeFrees,member,poet
David Degener,member,poet
Katie Degentesh,member,poet
Lee DeJasu,member,poet
Walter De Maria,member,poet
Mónica de la Torre,member,poet
Walt Delegall,member,poet
Juan Delgado,member,poet
Edwin Denby,member,poet
Dennis,member,poet
Tom Dent,member,poet
Jeff Derksen,member,poet
Toi Derricotte,member,poet
Eunice de Souza,member,poet
Babette Deutsch,member,poet
Thomas Devaney,member,poet
Christopher Dewdney,member,poet
"Di Piero, W. S.",member,poet
Diane di Prima,member,poet
James Dickey,member,poet
Emily Dickinson,member,poet
Denis Diderot,member,poet
Patricia Dienstfrey,member,poet
Linh Dinh,member,poet
Ray DiPalma,member,poet
Thomas M. Disch,member,poet
Marcel Duchamp,member,poet
"Djangatolum (Lloyd M. Corbin, Jr.)",member,poet
Stephen Dobyns,member,poet
Elizabeth Dodd,member,poet
Owen Dodson,member,poet
Reinhard Döhl,member,poet
Ding Dong,member,poet
Timothy Donnelly,member,poet
Ebon Dooley,member,poet
Stacy Doris,member,poet
Sonya Dorman,member,poet
Edward Dorn,member,poet
Mark Doty,member,poet
Sean Thomas Dougherty,member,poet
Keith Douglas,member,poet
Rita Dove,member,poet
Philip Dow,member,poet
Ben Doyle,member,poet
Kirby Doyle,member,poet
Suzanne J. Doyle,member,poet
Lynne Dreyer,member,poet
Johanna Drucker,member,poet
Norman Dubie,member,poet
Alfred A. Duckett,member,poet
Richard Duerden,member,poet
Peter Kane Dufault,member,poet
Carol Ann Duffy,member,poet
Alan Dugan,member,poet
Denise Duhamel,member,poet
Henry Dumas,member,poet
Paul Lawrence Dunbar,member,poet
Robert Duncan,member,poet
Douglas Dunn,member,poet
Stephen Dunn,member,poet
Rachel Blau DuPlessis,member,poet
Ray Durem,member,poet
Craig Dworkin,member,poet
Bob Dylan,member,poet
Jaci Earley,member,poet
Charles Edward Eaton,member,poet
Richard Eberhart,member,poet
Russell Edson,member,poet
Harry Edwards,member,poet
W. D. Ehrhart,member,poet
Gretel Ehrlich,member,poet
Larry Eigner,member,poet
Barbara Einzig,member,poet
Torsten Ekbom,member,poet
Thomas Sayers Ellis,member,poet
Kenward Elmslie,member,poet
Laura Elrick,member,poet
James A. Emanuel,member,poet
Jocelyn Emerson,member,poet
Leatrice W. Emeruwa,member,poet
Lynn Emanuel,member,poet
Anita Endrezze,member,poet
John Engels,member,poet
Daniel Mark Epstein,member,poet
Elaine Equi,member,poet
Heid E. Erdrich,member,poet
Louise Erdrich,member,poet
Clayton Eshleman,member,poet
Martín Espada,member,poet
Rhina P. Espaillat,member,poet
Carrie Etter,member,poet
George Evans,member,poet
Mari Evans,member,poet
William Everson (Brother Antoninus),member,poet
Peter Everwine,member,poet
Sarah Webster Fabio,member,poet
Öyvind Fahlström,member,poet
Ruth Fainlight,member,poet
Dan Farrell,member,poet
Julie Fay,member,poet
Sascha Feinstein,member,poet
Frederick Feirstein,member,poet
Andrew Feld,member,poet
Irving Feldman,member,poet
Susan Feldman,member,poet
Elizabeth Fenton,member,poet
James Fenton,member,poet
Deanna Ferguson,member,poet
Gerald Ferguson,member,poet
Lawrence Ferlinghetti,member,poet
Renaldo Fernandez,member,poet
Carl Fernbach-Flarsheim,member,poet
Monica Ferrell,member,poet
David Ferry,member,poet
Edward Field,member,poet
Miranda Field,member,poet
Julia Fields,member,poet
Kai Fierle-Hedrick,member,poet
Annie Finch,member,poet
Donald Finkel,member,poet
Ian Hamilton Finlay,member,poet
Lisa Fishman,member,poet
Robert Fitterman,member,poet
Bob Fletcher,member,poet
Henry Flynt,member,poet
Nick Flynn,member,poet
"Forbes, Calvin",member,poet
Carolyn Forché,member,poet
Charles Henri Ford,member,poet
Katie Ford,member,poet
Kent Foreman,member,poet
Nicole Forman,member,poet
Ruth Forman,member,poet
Sesshu Foster,member,poet
Graham Foust,member,poet
Siv Cedering Fox,member,poet
Clarence Franklin,member,poet
Al Fraser,member,poet
Kathleen Fraser,member,poet
Bill Frederick,member,poet
Carol Freeman,member,poet
Larry Freifeld,member,poet
Benjamin Friedlander,member,poet
Kenny Fries,member,poet
Carol Frost,member,poet
Joanna Fuhrman,member,poet
Heather Fuller,member,poet
John Fuller,member,poet
Alice Fulton,member,poet
Christopher Funkhouser,member,poet
John Furnival,member,poet
Tess Gallagher,member,poet
Dick Gallup,member,poet
James Galvin,member,poet
Forrest Gander,member,poet
Heinz Gappmayr,member,poet
Suzanne Gardinier,member,poet
Drew Gardner,member,poet
Isabella Gardner,member,poet
Susana Gardner,member,poet
Ilse Garnier,member,poet
Pierre Garnier,member,poet
George Garrett,member,poet
Jean Garrigue,member,poet
Marvin Gaye,member,poet
Lethonia Gee,member,poet
Steve Gehrke,member,poet
Joan Austin Geier,member,poet
Timothy Geiger,member,poet
Amy Gerstler,member,poet
Susan Gevirtz,member,poet
Reginald Gibbons,member,poet
Margaret Gibson,member,poet
Lawrence Giffin,member,poet
Celia Gilbert,member,poet
Christopher Gilbert,member,poet
Zack Gilbert,member,poet
Gary Gildner,member,poet
Carmen Giménez Smith,member,poet
Madeline Gins,member,poet
Allen Ginsberg,member,poet
Dana Gioia,member,poet
John Giorno,member,poet
Daniela Gioseffi,member,poet
Nikki Giovanni,member,poet
C. S. Giscombe,member,poet
Peter Gizzi,member,poet
Michele Glazer,member,poet
Lisa Glatt,member,poet
Madeline Gleason,member,poet
Louise Glück,member,poet
John Godfrey,member,poet
Patricia Goedicke,member,poet
Matthias Goeritz,member,poet
Douglas Goetsch,member,poet
Albert Goldbarth,member,poet
Judith Goldman,member,poet
Kenneth Goldsmith,member,poet
Eugen Gomringer,member,poet
Joe Goncalves,member,poet
Rigoberto González,member,poet
Michael Goode,member,poet
Lorna Goodison,member,poet
Melinda Goodman,member,poet
L. Goodwin,member,poet
Charles F. Gordon,member,poet
Nada Gordon,member,poet
Noah Eli Gordon,member,poet
Sarah Gorham,member,poet
Ludwig Gosewitz,member,poet
Ann Gottlieb,member,poet
Michael Gottlieb,member,poet
Carmin Auld Goulbourne,member,poet
Donald D. Govan,member,poet
D. L. Graham,member,poet
Dan Graham,member,poet
Jorie Graham,member,poet
K. Lorraine Graham,member,poet
Le Graham,member,poet
Rudy Bee Graham,member,poet
W. S. Graham,member,poet
Judy Grahn,member,poet
Michelle Grangaud,member,poet
Kim Green,member,poet
Melissa Green,member,poet
Arielle Greenberg,member,poet
Barbara L. Greenberg,member,poet
Carl H. Greene,member,poet
Ted Greenwald,member,poet
Jane Greer,member,poet
Debora Greger,member,poet
Debra Gregerman,member,poet
Linda Gregg,member,poet
Carole Gregory,member,poet
Robert Grenier,member,poet
Susan Griffin,member,poet
Jessica Grim,member,poet
Bohumila Grögerová,member,poet
Emily Grosholz,member,poet
Jennifer Grotz,member,poet
José Lino Grünewald,member,poet
Barbara Guest,member,poet
Charles Gullans,member,poet
Thom Gunn,member,poet
R. S. Gwynn,member,poet
Beth Gylys,member,poet
Brion Gysin,member,poet
H.D.,member,poet
Marilyn Hacker,member,poet
Rachel Hadas,member,poet
Jessica Hagedorn,member,poet
Kimiko Hahn,member,poet
Haki R. Madhubuti (Don L. Lee),member,poet
Donald Hall,member,poet
John Hall,member,poet
Kirk Hall,member,poet
Anne Halley,member,poet
Mark Halperin,member,poet
Daniel Halpern,member,poet
Michael Hamburger,member,poet
Bobb Hamilton,member,poet
Q. R. Hand,member,poet
Al Hansen,member,poet
James Harms,member,poet
Joy Harjo,member,poet
Edward Harkness,member,poet
Michael S. Harper,member,poet
Janice N. Harrington,member,poet
William J. Harris,member,poet
Jim Harrison,member,poet
Tony Harrison,member,poet
Elizabeth B. Harrod,member,poet
Carla Harryman,member,poet
Charles O. Hartman,member,poet
Mary Cornelia Hartshorne,member,poet
Matthea Harvey,member,poet
Michael Harvey,member,poet
Robert Hass,member,poet
Umar Bin Hassan,member,poet
William Hathaway,member,poet
Vaclav Havel,member,poet
Robert Hayden,member,poet
Terrance Hayes,member,poet
"Albert E. Haynes, Jr.",member,poet
Steve Healey,member,poet
Seamus Heaney,member,poet
John Heath-Stubbs,member,poet
Anthony Hecht,member,poet
Allison Adelle Hedge Coke,member,poet
Michael Heffernan,member,poet
Thomas Heise,member,poet
Helmut Heisesenbüttel,member,poet
Lyn Hejinian,member,poet
Judith Hemschemeyer,member,poet
David Henderson,member,poet
Peggy Henderson,member,poet
Brian Henry,member,poet
Calvin C. Hernton,member,poet
Ruth Herschberger,member,poet
Phillip Hey,member,poet
William Heyen,member,poet
Bob Hicok,member,poet
Dick Higgins,member,poet
Mitch Highfill,member,poet
Geoffrey Hill,member,poet
Mary Crockett Hill,member,poet
Quentin Hill,member,poet
Brenda Hillman,member,poet
Ellen Hinsey,member,poet
Josef Hiršal,member,poet
Edward Hirsch,member,poet
H. L. Hix,member,poet
Everett Hoagland,member,poet
Sandra Hochman,member,poet
Åke Hodell,member,poet
Daniel Hoffman,member,poet
Linda Hogan,member,poet
Jonathan Holden,member,poet
Barbara A. Holland,member,poet
John Hollander,member,poet
Anselm Hollo,member,poet
John Holloway,member,poet
M. Carl Holman,member,poet
John Holmes,member,poet
Cathy Park Hong,member,poet
Garrett Kaoru Hongo,member,poet
Paul Hoover,member,poet
Theodore Horne,member,poet
David Brendan Hopes,member,poet
Dom Sylvester Houédard,member,poet
Joan Houlihan,member,poet
Gloria Larry House,member,poet
Ben Howard,member,poet
Richard Howard,member,poet
Vanessa Howard,member,poet
Fanny Howe,member,poet
Susan Howe,member,poet
Barbara Howes,member,poet
Andrew Hudgins,member,poet
Yunte Huang,member,poet
Douglas Huebler,member,poet
Robert Huff,member,poet
Langston Hughes,member,poet
Ted Hughes,member,poet
Richard Hugo,member,poet
Christine Hume,member,poet
Austin Hummell,member,poet
T. R. Hummer,member,poet
Erica Hunt,member,poet
William Hunt,member,poet
Toshi Ichiyanagi,member,poet
David Ignatow,member,poet
Yusef Iman,member,poet
Catherine Imbriglio,member,poet
Lawson Fusao Inada,member,poet
Colette Inez,member,poet
P. Inman (Peter Inman),member,poet
Kenneth Irby,member,poet
"Weldon J. Irvine, Jr.",member,poet
Elton Hill-Abu Ishak,member,poet
Lucille Iverson,member,poet
Bruce Jackson,member,poet
Major Jackson,member,poet
J. L. Jacobs,member,poet
Josephine Jacobsen,member,poet
Peter Jaeger,member,poet
Elizabeth James,member,poet
Thomas James,member,poet
Ernst Jandl,member,poet
Mark Jarman,member,poet
Lisa Jarnot,member,poet
Randall Jarrell,member,poet
Lance Jeffers,member,poet
Elizabeth Jennings,member,poet
Terry Jennings,member,poet
Laura Jensen,member,poet
Judson Jerome,member,poet
Ted Joans,member,poet
Johari Amini (Jewel C. Latimore),member,poet
Alicia Loy Johnson,member,poet
Christine C. Johnson,member,poet
Denis Johnson,member,poet
Don Johnson,member,poet
Jonathan Johnson,member,poet
James Weldon Johnson,member,poet
Ray Johnson,member,poet
"Raymond Edward ""Ray"" Johnson",member,poet
Ronald Johnson,member,poet
Gayle Jones,member,poet
Howard Jones,member,poet
Rodney Jones,member,poet
Erica Jong,member,poet
A. Van Jordan,member,poet
Norman Jordan,member,poet
Judy Jordan,member,poet
June Jordan,member,poet
Andrew Joron,member,poet
Allison Joseph,member,poet
Donald Justice,member,poet
Kalamu ya Salaam (Val Ferdinand),member,poet
Hiro Kamimura,member,poet
Ilya Kaminsky,member,poet
Lenore Kandel,member,poet
Bhanu Kapil,member,poet
Julia Kasdorf,member,poet
Laura Kasischke,member,poet
Kitasono Katue,member,poet
Joy Katz,member,poet
Bob Kaufman,member,poet
Shirley Kaufman,member,poet
Ellen de Young Kay,member,poet
Emma Kay,member,poet
Richard Katrovas,member,poet
Claudia Keelan,member,poet
Greg Keeler,member,poet
Weldon Kees,member,poet
Lenore Keeshit-Tobias,member,poet
Sally Keith,member,poet
Robert Kelly,member,poet
Dolores Kendrick,member,poet
Bill Kennedy,member,poet
Christine Kennedy,member,poet
X. J. Kennedy,member,poet
Peggy Kenner,member,poet
Richard Kenney,member,poet
Jane Kenyon,member,poet
David Keplinger,member,poet
