name,type
Maurice Manning,member
Paul Mariani,member
Charles Martin,member
Valerie Martínez,member
David Mason,member
William Matchett,member
Harry Mathews,member
Cleopatra Mathis,member
Khaled Mattawa,member
William Matthews,member
Bernadette Mayer,member
Hansjörg Mayer,member
E. L. Mayo,member
Mekeel McBride,member
Angela McCabe,member
Steve McCaffery,member
Michael McClure,member
Howard McCord,member
David McElroy,member
Thomas McGrath,member
Medbh McGuckian,member
Heather McHugh,member
Stephen McLaughlin,member
James McMichael,member
Mark McMorris,member
Sandra McPherson,member
Joyelle McSweeney,member
Peter Meinke,member
David Meltzer,member
William Meredith,member
James Merrill,member
W. S. Merwin,member
Sharon Mesmer,member
Douglas Messerli,member
Robert Mezey,member
Josephine Miles,member
Edna St. Vincent Millay,member
Jane Miller,member
Vassar Miller,member
Carol Mirakove,member
Gary Miranda,member
Judith Moffett,member
K. Silem Mohammad,member
N. Scott Momaday,member
Franz Mon,member
Paul Monette,member
Leslie Monsour,member
Honor Moore,member
Richard Moore,member
Cherríe Moraga,member
Robert Morgan,member
Laura Moriarty,member
Hilda Morley,member
Tracie Morris,member
Rusty Morrison,member
Howard Moss,member
Stanley Moss,member
Fred Moten,member
Erin Mouré,member
Jennifer Moxley,member
Lisel Mueller,member
Paul Muldoon,member
Harryette Mullen,member
Laura Mullen,member
G. E. Murray,member
Les Murray,member
Carol Muske-Dukes,member
Jack Myers,member
Eileen Myles,member
Maurizio Nannucci,member
Melanie Neilson,member
Maggie Nelson,member
Marilyn Nelson,member
Howard Nemerov,member
bpNichol (Barrie Phillip Nichol),member
Lorine Niedecker,member
Seiichi Niikuni,member
John Frederick Nims,member
Suzanne Noguere,member
Eiríkur Örn Norðdahl,member
Charles North,member
Alice Notley,member
Ladislav Novák,member
Mark Nowak,member
Naomi Shihab Nye,member
Frank O'Hara,member
Sharon Olds,member
Carole Oles,member
Mary Oliver,member
Redell Olsen,member
Charles Olson,member
Yoko Ono,member
George Oppen,member
Steve Orlen,member
Gregory Orr,member
Simon J. Ortiz,member
Maggie O'Sullivan,member
Maureen Owen,member
Rochelle Owens,member
Robert Pack,member
Ron Padgett,member
Nam June Paik,member
Grace Paley,member
Michael Palmer,member
Greg Pape,member
Jay Parini,member
Elsie Paschen,member
Linda Pastan,member
Kenneth Patchen,member
Julie Patton,member
Molly Peacock,member
John Peck,member
Georges Perec,member
Bob Perelman,member
Craig Santos Perez,member
John Perreault,member
Michael Pettit,member
M. Nourbese Philip,member
Marge Piercy,member
Helen Pinkerton,member
Robert Pinsky,member
Nick Piombino,member
Vanessa Place,member
Sylvia Plath,member
Stanley Plumly,member
Hyam Plutzik,member
Katha Pollitt,member
Bern Porter,member
Ezra Pound,member
D. A. Powell,member
Larry Price,member
Wyatt Prunty,member
Raymond Queneau,member
Lawrence Raab,member
Thomas Rabbitt,member
Carl Rakosi,member
A. K. Ramanujan,member
Bin Ramke,member
Dudley Randall,member
Paula Rankin,member
Claudia Rankine,member
Stephen Ratcliffe,member
Tom Raworth,member
David Ray,member
Srikanth Reddy,member
Ishmael Reed,member
Alastair Reid,member
Ariana Reines,member
James Reiss,member
Naomi Replansky,member
Joan Retallack,member
Donald Revell,member
Charles Reznikoff,member
Adrienne Rich,member
Deborah Richards,member
John Ridland,member
Alberto Álvaro Ríos,member
Ed Roberson,member
Lisa Robertson,member
Elizabeth Robinson,member
Kit Robinson,member
Stephen Rodefer,member
Theodore Roethke,member
Pattiann Rogers,member
Matthew Rohrer,member
William Pitt Root,member
Raymond Roseliep,member
Kenneth Rosen,member
Michael J. Rosen,member
Kim Rosenfield,member
Dieter Roth,member
Jerome Rothenberg,member
Gibbons Ruark,member
Mary Ruefle,member
Gerhard Rühm,member
Muriel Rukeyser,member
Michael Ryan,member
Ira Sadoff,member
Mary Jo Salter,member
Lisa Samuels,member
Sonia Sanchez,member
Kaia Sand,member
Sherod Santos,member
Aram Saroyan,member
May Sarton,member
Leslie Scalapino,member
Susan Fromberg Schaeffer,member
Roy Scheele,member
James Schevill,member
Dennis Schmitz,member
Gjertrud Schnackenberg,member
Philip Schultz,member
Susan M. Schultz,member
James Schuyler,member
Delmore Schwartz,member
Gail Scott,member
Winfield Townley Scott,member
Maureen Seaton,member
Peter Seaton,member
Hugh Seidman,member
Anne Sexton,member
Alan Shapiro,member
David Shapiro,member
Karl Shapiro,member
Brenda Shaughnessy,member
James Sherry,member
Judith Johnson Sherwin,member
Aaron Shurin,member
Eleni Sikelianos,member
Richard Siken,member
Jon Silkin,member
Leslie Marmon Silko,member
Ron Silliman,member
Charles Simic,member
Maurya Simon,member
Leslie Simon,member
Louis Simpson,member
L. E. Sissman,member
Knute Skinner,member
Floyd Skloot,member
David R. Slavitt,member
Patricia Smith,member
Dave Smith,member
Rod Smith,member
Tracy K. Smith,member
William Jay Smith,member
W. D. Snodgrass,member
Gary Snyder,member
Gustaf Sobin,member
Cathy Song,member
Gary Soto,member
Marcia Southwick,member
Barry Spacks,member
Juliana Spahr,member
Adriano Spatola,member
Roberta Spear,member
Jack Spicer,member
Elizabeth Spires,member
Kathleen Spivack,member
David St. John,member
William Stafford,member
Maura Stanton,member
George Starbuck,member
Timothy Steele,member
Brian Kim Stefans,member
Gertrude Stein,member
Barry Sternlieb,member
Wallace Stevens,member
Anne Stevenson,member
Susan Stewart,member
Terry Stokes,member
Leon Stokesbury,member
Patricia Storace,member
Ruth Stone,member
Mark Strand,member
Dabney Stuart,member
Gary Sullivan,member
Barton Sutter,member
Brian Swann,member
Cole Swensen,member
May Swenson,member
Joan Swift,member
Janet Sylvester,member
John Taggart,member
Nathaniel Tarn,member
James Tate,member
Henry Taylor,member
Brian Teare,member
Roberto Tejada,member
Fiona Templeton,member
Lorenzo Thomas,member
Susan Tichy,member
Richard Tillinghast,member
Charles Tomlinson,member
Edwin Torres,member
Rodrigo Toscano,member
Tony Towle,member
Wesley Trimpi,member
Quincy Troupe,member
Lewis Turco,member
Frederick Turner,member
Chase Twichell,member
Tristan Tzara,member
John Updike,member
Jean Valentine,member
Mona Van Duyn,member
Cecilia Vicuña,member
Peter Viereck,member
Alma Luz Villanueva,member
Paul Violi,member
Ellen Bryant Voigt,member
Arthur Vogelsang,member
Paul de Vree,member
David Wagoner,member
Diane Wakoski,member
Derek Walcott,member
Anne Waldman,member
G. C. Waldrep,member
Keith Waldrop,member
Rosmarie Waldrop,member
Alice Walker,member
Ronald Wallace,member
Marilyn N. Waniek,member
Diane Ward,member
Candice Warne,member
Robert Penn Warren,member
Rosanna Warren,member
Lewis Warsh,member
Michael Waters,member
Barrett Watten,member
Tom Weatherly,member
Roger Weingarten,member
Bruce Weigl,member
Hannah Weiner,member
James Welch,member
Lew Welch,member
Marjorie Welish,member
Mac Wellman,member
Darren Wershler,member
Kathleene West,member
Mildred Weston,member
Rachel Wetzsteon,member
Philip Whalen,member
Gail White,member
Jon Manchip White,member
James Whitehead,member
Carolyn B. Whitlow,member
Ruth Whitman,member
Reed Whittemore,member
John Wieners,member
Dara Wier,member
Richard Wilbur,member
Peter Wild,member
Joshua Marie Wilkinson,member
Nancy Willard,member
C. K. Williams,member
Emmett Williams,member
John A. Williams,member
Jonathan Williams,member
Lisa Williams,member
Miller Williams,member
William Carlos Williams,member
Greg Williamson,member
Elizabeth Willis,member
Sara Wintz,member
Harold Witt,member
David Wojahn,member
Daniel Wolff,member
Nellie Wong,member
Baron Wormser,member
C. D. Wright,member
Celeste T. Wright,member
Charles Wright,member
James Wright,member
Jay Wright,member
Mark Wunderlich,member
John Yau,member
William Butler Yeats,member
Monica Youn,member
Al Young,member
David Young,member
Dean Young,member
Kevin Young,member
La Monte Young,member
Matthew Zapruder,member
Andrew Zawacki,member
Lisa Zeidner,member
Paul Zimmer,member
Rachel Zucker,member
Louis Zukofsky,member
UbuWeb,Institution
PennSound,Institution
voca,Institution
Smith_The Morrow Anthology_1985,Institution
Halpern_The New Poetry Anthology_1975,Institution
Finch_A Formal Feeling Comes_1994,Institution
Jarman_Rebel Angels_1996,Institution
Elliston,Institution
Hall_New Poets of England and America_1957,Institution
McClatchy_Contemporary American Poetry_1990,Institution
Vendler_Contemporary American Poetry_1985,Institution
Dacey_Strong Measures_1986,Institution
Ciardi_Mid-Century American Poets_1950,Institution
Elliott_Fifteen Modern American Poets_1956,Institution
